Tresc,Kod
"Normalizuj wektor adresów, zastępując wielkie litery małymi literami.","adresy_znormalizowane <- tolower(adresy)
adresy_znormalizowane"
Wybierz tylko liczbową część wektora adresów.,"numeric_address <- as.numeric(gsub(""[^0-9]+"", """", adresy))
numeric_address"
Podziel wektor adresów na dwie części: adres i miasto. Wynik powinien być macierzą.,"adresy_split <- strsplit(adresy, "","")

adresy_matrix <- as.matrix(sapply(adresy_split, function(x) c(x[1], x[2])))
adresy_matrix"
"Podziel wektor adresów na trzy części: numer domu, ulicę i miasto. Wynik powinien być macierzą. 
Podpowiedź: użyj asercji z wyrażeniem w tył regex.","adresy_parts <- regmatches(adresy, gregexpr(""([0-9]+), ([A-Za-z ]+), ([A-Za-z ]+)"", adresy))
adresy_matrix2 <- as.matrix(sapply(adresy_parts, function(x) c(x[1], x[2], x[3])))
adresy_matrix2"
"#Zdanie zaczyna sie na ""T""","
first_words <- sapply(dluga_sentencja, function(sentence) {
  if (startsWith(sentence, ""T"")) {
    return(str_extract(sentence, ""^T\\w+""))
  } else {
    return(NA)
  }
})
"
"#Zdanie konczy sie na ""s""","last_words <- sapply(dluga_sentencja, function(sentence) {
  if (endsWith(sentence, ""s."")) {
    return(str_extract(sentence, ""\\w+s\\.""))
  } else {
    return(NA)
  }
})
"
"#Zdanie zaczyna sie na ""t"" i konczy na ""s""","first_and_last_words <- sapply(dluga_sentencja, function(sentence) {
  if (startsWith(sentence, ""T"") && endsWith(sentence, ""s."")) {
    return(c(str_extract(sentence, ""^T\\w+""), str_extract(sentence, ""\\w+s\\."")))
  } else {
    return(NA)
  }
})"
Pokaż tylko pierwszych 20 znaków wszystkich zdań w wektorze dluga_sentencja,"short_sentences <- sapply(dluga_sentencja, function(sentence) {
  substr(sentence, 1, 20)
})
short_sentences_with_ellipsis <- paste(short_sentences, "".."", sep = """")


short_sentences_with_ellipsis"
"Znormalizuj wektor produkty, usuwając wszystkie niepotrzebne spacje (zarówno na początku, na końcu, jak i w środku)","produkty_normalized <- gsub(""\\s+"", "" "", produkty)
produkty_normalized <- toupper(produkty_normalized)
produkty_normalized"
"Przygotuj wektor nazwa_pola, zastępując wszystkie symbole podkreśleń spacjami i konwertując je na wielkie litery.","nazwa_pola_formatted <- gsub(""_"", "" "", nazwa_pola)
nazwa_pola_formatted <- toupper(nazwa_pola_formatted)
nazwa_pola_formatted"
